raw_name,sub_bge_alias
BC FINANCIAL SERVICE AUTH.,BC Financial Services Authority
BC FINANCIAL SERVICES AUTHORITY,BC Financial Services Authority
BC Min Attorney General,Attorney General
BC MIN CITIZEN'S SERVICES,Citizens Services
"His Majesty the King in the Right of the Prov of BC, as represented by the Minister of Citizens Ser",Citizens Services
BC Min Emerg Mgmt & Climate Readiness,Emergency Management and Climate Readiness
BC MIN ENERGY & CLIMATE SOLUTIONS,Energy and Climate Solutions
BC Min Environment and Parks,Environment and Parks
BC Min Forests,Forests
BC MIN AGRICULTURE & FOOD,Agriculture and Food
BC MIN CHILDREN & FAMILY DEVELOPMENT,Children and Family Development
BC Min Health,Health
HOUSING AND MUNICIPAL AFFAIRS,Housing and Municipal Affairs
BC Min Indigenous Relations & Reconcil.,Indigenous Relations and Reconciliation
INDIGENOUS RELATIONS AND RECONCILIATION,Indigenous Relations and Reconciliation
BC MIN JOBS & ECONOMIC GROWTH,Jobs Economic Development and Innovation
JOB ECONOMIC DEVELOPMENT AND INNOVATION,Jobs Economic Development and Innovation
MIN OF JOBS TOURISM & INNOVATION,Jobs Economic Development and Innovation
BC MIN MINING & CRITICAL MINERALS,Mining and Critical Minerals
BC MIN PUBLIC SAFETY & SOLICITOR GEN,Public Safety and Solicitor General
BC Min Post-Secondary Ed & Future Skills,Post-Secondary Education and Future Skills
BC Min Social Dev & Poverty Reduction,Social Development and Poverty Reduction
MIN OF SOCIAL DEVELOPMENT,Social Development and Poverty Reduction
TRANSPORTATION AND TRANSIT,Transportation and Transit
LAND AND WATER BC INC,Water Land and Resource Stewardship
BC MIN WATER LAND & RESOURCE STEWARD,Water Land and Resource Stewardship
BC MIN FINANCE,Finance
Office of the Premier,Office of the Premier
Public Service Agency,BC Public Service Agency
BC FAMILY MAINTENANCE AGENCY LTD.,BC Family Maintenance Agency
BC MIN EDUCATION & CHILDCARE,Education and Child Care
BC Hydro,BC Hydro
BC LOTTERY,BCLC
INSURANCE CORPORATION OF BRITISH COLUMB.,ICBC
FRASER HEALTH AUTHORITY,FHA
PROVIDENCE HEALTH CARE,Providence Health Care
VANCOUVER ISLAND HEALTH AUTHORITY,VIHA
SCHOOL DISTRICT NO 19 REVELSTOKE,School District 19
SCHOOL DISTRICT 33 CHILLIWACK,School District 33
School District 34 Abbotsford,School District 34
School District 36 Surrey,School District 36
SCHOOL DISTRICT 38,School District 38
SCHOOL DISTRICT 40,School District 40
SCHOOL DISTRICT NO 41 BURNABY,School District 41
SCHOOL DISTRICT 42,School District 42
SCHOOL DISTRICT 43,School District 43
School District 44,School District 44
SCHOOL DISTRICT NO 60 PEACE RIVER NORTH,School District 60
SCHOOL DISTRICT NO 62 SOOKE,School District 62
School District 67 Okanagan Skaha,School District 67
DISTRICT 71 COMOX VALLEY,School District 71
School District 72 Campbell River,School District 72
School District 81,School District 81
School District 87,School District 87
SCHOOL DISTRICT NO 92 NISGAA,School District 92
SCHOOL DISTRICT 93 CONSEIL SCOLAIRE FRAN,School District 93
BC ASSESSMENT,BC Assessment
BC LIQUOR DISTRIBUTION BRANCH,BC LDB
BC LDB,BC LDB
POWERTECH,Powertech
POWEREX,Power Ex
BC Housing Management Commission,BC Housing Management Commission
BC Office of Human Rights Commissioner,BC Office of Human Rights Commissioner
BC Pension,BC Pension
Community Living BC,Community Living BC
Destination BC,Destination BC
Elections BC,Elections BC
Forest Practice Board,Forest Practice Board
Islands Trust Conservancy,Islands Trust Conservancy
LEGISLATIVE ASSEMBLY,LEGISLATIVE ASSEMBLY
OFFICE OF THE AUDITOR GENERAL OF B C,OFFICE OF THE AUDITOR GENERAL OF B C
OFFICE OF THE INFORMATION & PRIVACY COMMISSIONER,OFFICE OF THE INFORMATION & PRIVACY COMMISSIONER
OFFICE OF THE MERIT COMMISSIONER,OFFICE OF THE MERIT COMMISSIONER
OFFICE OF THE OMBUDSPERSON,OFFICE OF THE OMBUDSPERSON
OFFICE OF THE POLICE COMPLAINT COMMISSIONER,OFFICE OF THE POLICE COMPLAINT COMMISSIONER
OFFICE OF THE REPRESENTATIVE FOR CHILDREN AND YOUTH,OFFICE OF THE REPRESENTATIVE FOR CHILDREN AND YOUTH
Public Guardian and Trustee,Public Guardian and Trustee
ROYAL B C MUSEUM,ROYAL B C MUSEUM
Superior Court Judiciary Branch,Superior Court Judiciary Branch
TI Corp,TI Corp
WCB ATTN:IT NETWORK SVCS RICHARD VAJDA PO29000,WSBC
WORKERS COMPENSATION BOARD,WSBC
"WORKERS"" COMPENSATION BOARD OF BC PO#38447 - NGTA",WSBC
Island Health Authority - Covid-19 - NGTA,VIHA
Vancouver Island Health Authority/ Central Island NGTA,VIHA
Vancouver Island Health Authority/North Island - NGTA,VIHA
Vancouver Island Health Authority/South Island NGTA,VIHA
VIHA,VIHA
VIHA-ALL REGIONS,VIHA
VIHA DEVICE BALANCE FINANCING,VIHA
