calendar_month,calendar_quarter,fiscal_quarter,fiscal_year_offset
1,1,4,0
2,1,4,0
3,1,4,0
4,2,1,1
5,2,1,1
6,2,1,1
7,3,2,1
8,3,2,1
9,3,2,1
10,4,3,1
11,4,3,1
12,4,3,1
